model,site,year,predicted
CanESM2.CanRCM4,vaira,2070,52
CanESM2.CanRCM4,vaira,2071,47
CanESM2.CanRCM4,vaira,2072,54
CanESM2.CanRCM4,vaira,2073,39
CanESM2.CanRCM4,vaira,2074,58
CanESM2.CanRCM4,vaira,2075,72
CanESM2.CanRCM4,vaira,2076,59
CanESM2.CanRCM4,vaira,2077,38
CanESM2.CanRCM4,vaira,2078,64
CanESM2.CanRCM4,vaira,2079,28
CanESM2.CanRCM4,vaira,2080,48
CanESM2.CanRCM4,vaira,2081,49
CanESM2.CanRCM4,vaira,2082,55
CanESM2.CanRCM4,vaira,2083,59
CanESM2.CanRCM4,vaira,2084,32
CanESM2.CanRCM4,vaira,2085,41
CanESM2.CanRCM4,vaira,2086,37
CanESM2.CanRCM4,vaira,2087,65
CanESM2.CanRCM4,vaira,2088,62
CanESM2.CanRCM4,vaira,2089,58
CanESM2.CanRCM4,vaira,2090,44
CanESM2.CanRCM4,vaira,2091,41
CanESM2.CanRCM4,vaira,2092,53
CanESM2.CanRCM4,vaira,2093,51
CanESM2.CanRCM4,vaira,2094,62
CanESM2.CanRCM4,vaira,2095,34
CanESM2.CanRCM4,vaira,2096,58
CanESM2.CanRCM4,vaira,2097,63
CanESM2.CanRCM4,vaira,2098,39
CanESM2.CanRCM4,vaira,2099,44
CanESM2.CanRCM4,vaira,2100,65
CanESM2.CRCM5-UQAM,ibp,2007,198
CanESM2.CRCM5-UQAM,ibp,2008,191
CanESM2.CRCM5-UQAM,ibp,2009,211
CanESM2.CRCM5-UQAM,ibp,2010,228
CanESM2.CRCM5-UQAM,ibp,2011,188
CanESM2.CRCM5-UQAM,ibp,2012,171
CanESM2.CRCM5-UQAM,ibp,2013,194
CanESM2.CRCM5-UQAM,ibp,2014,221
CanESM2.CRCM5-UQAM,ibp,2015,213
CanESM2.CRCM5-UQAM,ibp,2016,176
CanESM2.CRCM5-UQAM,ibp,2017,174
CanESM2.CRCM5-UQAM,ibp,2018,211
CanESM2.CRCM5-UQAM,ibp,2019,220
CanESM2.CRCM5-UQAM,ibp,2020,239
CanESM2.CRCM5-UQAM,ibp,2021,246
CanESM2.CRCM5-UQAM,ibp,2022,143
CanESM2.CRCM5-UQAM,ibp,2023,189
CanESM2.CRCM5-UQAM,ibp,2024,194
CanESM2.CRCM5-UQAM,ibp,2025,245
CanESM2.CRCM5-UQAM,ibp,2026,189
CanESM2.CRCM5-UQAM,ibp,2027,234
CanESM2.CRCM5-UQAM,ibp,2028,222
CanESM2.CRCM5-UQAM,ibp,2029,219
CanESM2.CRCM5-UQAM,ibp,2030,236
CanESM2.CRCM5-UQAM,ibp,2031,174
CanESM2.CRCM5-UQAM,ibp,2032,194
CanESM2.CRCM5-UQAM,ibp,2033,179
CanESM2.CRCM5-UQAM,ibp,2034,259
CanESM2.CRCM5-UQAM,ibp,2035,220
CanESM2.CRCM5-UQAM,ibp,2036,184
CanESM2.CRCM5-UQAM,ibp,2037,239
CanESM2.CRCM5-UQAM,ibp,2038,158
CanESM2.CRCM5-UQAM,ibp,2039,189
CanESM2.CRCM5-UQAM,ibp,2040,204
CanESM2.CRCM5-UQAM,ibp,2041,230
CanESM2.CRCM5-UQAM,ibp,2042,221
CanESM2.CRCM5-UQAM,ibp,2043,194
CanESM2.CRCM5-UQAM,ibp,2044,223
CanESM2.CRCM5-UQAM,ibp,2045,227
CanESM2.CRCM5-UQAM,ibp,2046,187
CanESM2.CRCM5-UQAM,ibp,2047,182
CanESM2.CRCM5-UQAM,ibp,2048,258
CanESM2.CRCM5-UQAM,ibp,2049,197
CanESM2.CRCM5-UQAM,ibp,2050,199
CanESM2.CRCM5-UQAM,ibp,2051,218
